Name,Time,X,Y,Layer,Observed,Computed,Weight,Group,Residual
D-3,3308.000000,2275015.573300,10432448.407315,12,6551.100000,6512.667621,1.000000,1,38.432379
D-3,4150.000000,2275015.573300,10432448.407315,12,6541.810000,6515.989091,1.000000,1,25.820909
D-3,4413.000000,2275015.573300,10432448.407315,12,6541.960000,6515.767197,1.000000,1,26.192803
DH-10,543.000000,2274821.121415,10432323.400222,12,6503.700000,6509.955700,1.000000,1,-6.255700
DH-10,928.000000,2274821.121415,10432323.400222,12,6502.700000,6510.285647,1.000000,1,-7.585647
DH-10,1292.000000,2274821.121415,10432323.400222,12,6510.700000,6510.465261,1.000000,1,0.234739
DH-10,1670.000000,2274821.121415,10432323.400222,12,6512.700000,6510.632867,1.000000,1,2.067133
DH-10,2035.000000,2274821.121415,10432323.400222,12,6508.700000,6510.771274,1.000000,1,-2.071274
DH-10,2401.000000,2274821.121415,10432323.400222,12,6508.700000,6510.661367,1.000000,1,-1.961367
DH-10,2764.000000,2274821.121415,10432323.400222,12,6509.700000,6510.397562,1.000000,1,-0.697562
DH-10,3133.000000,2274821.121415,10432323.400222,12,6507.700000,6510.126782,1.000000,1,-2.426782
DH-10,3308.000000,2274821.121415,10432323.400222,12,6507.700000,6510.125059,1.000000,1,-2.425059
DH-10,3785.000000,2274821.121415,10432323.400222,12,6512.700000,6512.751869,1.000000,1,-0.051869
DH-10,4139.000000,2274821.121415,10432323.400222,12,6514.700000,6514.002930,1.000000,1,0.697070
DH-10,4505.000000,2274821.121415,10432323.400222,12,6518.700000,6514.137612,1.000000,1,4.562388
DH-10,4870.000000,2274821.121415,10432323.400222,12,6514.700000,6514.854669,1.000000,1,-0.154669
DH-10,5235.000000,2274821.121415,10432323.400222,12,6514.700000,6515.968354,1.000000,1,-1.268354
DH-10,5600.000000,2274821.121415,10432323.400222,12,6515.700000,6517.708333,1.000000,1,-2.008333
DH-10,5966.000000,2274821.121415,10432323.400222,12,6516.580000,6519.243242,1.000000,1,-2.663242
DH-10,6278.000000,2274821.121415,10432323.400222,12,6515.600000,6519.419472,1.000000,1,-3.819472
DM80-1,3470.000000,2273765.122027,10435099.482120,12,6554.200000,6556.657817,1.000000,1,-2.457817
DM80-1,3785.000000,2273765.122027,10435099.482120,12,6553.200000,6557.723801,1.000000,1,-4.523801
DM80-1,4150.000000,2273765.122027,10435099.482120,12,6553.290000,6558.296968,1.000000,1,-5.006968
DM80-1,4516.000000,2273765.122027,10435099.482120,12,6552.880000,6558.114552,1.000000,1,-5.234552
DM80-1,4881.000000,2273765.122027,10435099.482120,12,6552.540000,6558.284146,1.000000,1,-5.744146
DM80-1,5235.000000,2273765.122027,10435099.482120,12,6552.180000,6558.539262,1.000000,1,-6.359262
DM80-1,5600.000000,2273765.122027,10435099.482120,12,6552.040000,6559.026042,1.000000,1,-6.986042
DM80-1,5966.000000,2273765.122027,10435099.482120,12,6551.580000,6559.284319,1.000000,1,-7.704319
DM80-1,6301.000000,2273765.122027,10435099.482120,12,6551.450000,6558.764798,1.000000,1,-7.314798
DM80-1,6757.000000,2273765.122027,10435099.482120,12,6552.130000,6558.063234,1.000000,1,-5.933234
DM80-1,7031.000000,2273765.122027,10435099.482120,12,6552.280000,6557.638541,1.000000,1,-5.358541
DM80-1,7397.000000,2273765.122027,10435099.482120,12,6552.080000,6557.339800,1.000000,1,-5.259800
DM80-1,7670.000000,2273765.122027,10435099.482120,12,6551.980000,6557.856934,1.000000,1,-5.876934
DM80-1,8218.000000,2273765.122027,10435099.482120,12,6552.400000,6557.073330,1.000000,1,-4.673330
DM80-1,8522.000000,2273765.122027,10435099.482120,12,6551.800000,6556.542480,1.000000,1,-4.742480
DM80-1,8888.000000,2273765.122027,10435099.482120,12,6551.600000,6555.935021,1.000000,1,-4.335021
DM80-1,9314.000000,2273765.122027,10435099.482120,12,6551.420000,6555.296422,1.000000,1,-3.876422
DM80-1,9679.000000,2273765.122027,10435099.482120,12,6551.260000,6554.804036,1.000000,1,-3.544036
DM80-1,9800.000000,2273765.122027,10435099.482120,12,6551.420000,6554.646376,1.000000,1,-3.226376
DM80-1,10410.000000,2273765.122027,10435099.482120,12,6551.300000,6554.035722,1.000000,1,-2.735722
DM80-1,10714.000000,2273765.122027,10435099.482120,12,6551.200000,6553.801690,1.000000,1,-2.601690
DM80-1,10865.000000,2273765.122027,10435099.482120,12,6551.200000,6553.697053,1.000000,1,-2.497053
DM80-2,3961.000000,2275591.526886,10430848.558918,12,6544.430000,6517.914088,1.000000,1,26.515912
DM80-2,6301.000000,2275591.526886,10430848.558918,12,6547.700000,6525.731310,1.000000,1,21.968690
DM80-2,6757.000000,2275591.526886,10430848.558918,12,6547.200000,6524.813547,1.000000,1,22.386453
DM80-2,7031.000000,2275591.526886,10430848.558918,12,6546.900000,6523.125632,1.000000,1,23.774368
DM80-2,7397.000000,2275591.526886,10430848.558918,12,6546.590000,6521.447470,1.000000,1,25.142530
DM80-2,7670.000000,2275591.526886,10430848.558918,12,6546.330000,6522.188477,1.000000,1,24.141523
DM80-2,8218.000000,2275591.526886,10430848.558918,12,6545.970000,6520.297492,1.000000,1,25.672508
DM80-2,8522.000000,2275591.526886,10430848.558918,12,6544.790000,6518.302734,1.000000,1,26.487266
DM80-2,8888.000000,2275591.526886,10430848.558918,12,6545.810000,6515.917926,1.000000,1,29.892074
DM80-2,9314.000000,2275591.526886,10430848.558918,12,6544.360000,6513.265608,1.000000,1,31.094392
DM80-2,9679.000000,2275591.526886,10430848.558918,12,6545.550000,6511.445957,1.000000,1,34.104043
DM80-2,9800.000000,2275591.526886,10430848.558918,12,6545.550000,6510.952096,1.000000,1,34.597904
DM80-2,10410.000000,2275591.526886,10430848.558918,12,6544.300000,6508.283841,1.000000,1,36.016159
DM80-2,10714.000000,2275591.526886,10430848.558918,12,6545.030000,6506.408611,1.000000,1,38.621389
DM80-2,10865.000000,2275591.526886,10430848.558918,12,6544.960000,6505.340024,1.000000,1,39.619976
DM80-3,9800.000000,2272826.776219,10432256.119832,12,6519.120000,6496.399712,1.000000,1,22.720288
DM80-3,10410.000000,2272826.776219,10432256.119832,12,6519.090000,6494.188811,1.000000,1,24.901189
DM80-3,10714.000000,2272826.776219,10432256.119832,12,6518.950000,6492.007930,1.000000,1,26.942070
